epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8522,1.11587,1.70937,1.38952,0.42512,0.53365,0.43608,0.20321,1.50804,2.55142,1.7851,0.000651852,0.000651852,0.000651852
2,32.4876,1.368,1.64859,1.55603,0.15261,0.30769,0.13047,0.04288,2.41077,5.98491,2.75707,0.00129241,0.00129241,0.00129241
3,45.9523,1.49982,1.72595,1.64103,0.26273,0.36058,0.21466,0.08765,2.07798,4.21714,2.45941,0.00190657,0.00190657,0.00190657
4,59.4179,1.49733,1.71655,1.61709,0.12416,0.28011,0.10017,0.03638,2.23352,4.21489,2.85934,0.0018812,0.0018812,0.0018812
5,72.8925,1.42171,1.62063,1.54789,0.28288,0.42788,0.2346,0.0885,2.04607,3.85475,2.29235,0.0018416,0.0018416,0.0018416
6,86.0908,1.46892,1.64082,1.57016,0.34846,0.40884,0.31909,0.13109,1.85924,2.38628,2.05806,0.001802,0.001802,0.001802
7,99.8021,1.38871,1.55052,1.52518,0.43723,0.44823,0.39009,0.18446,1.78219,2.2817,1.94948,0.0017624,0.0017624,0.0017624
8,113.62,1.39027,1.53447,1.60185,0.48565,0.5992,0.54901,0.25421,1.56599,1.70259,1.7223,0.0017228,0.0017228,0.0017228
9,127.295,1.30513,1.49917,1.47536,0.62979,0.62975,0.65786,0.35993,1.38576,1.40134,1.5269,0.0016832,0.0016832,0.0016832
10,140.892,1.27599,1.45647,1.45977,0.57693,0.60096,0.62049,0.34815,1.36152,1.5193,1.55933,0.0016436,0.0016436,0.0016436
11,154.645,1.22275,1.37558,1.4484,0.63653,0.60577,0.65289,0.32886,1.51296,1.52501,1.64561,0.001604,0.001604,0.001604
12,168.194,1.20305,1.3542,1.42157,0.59325,0.51442,0.54789,0.28419,1.38459,1.58806,1.57044,0.0015644,0.0015644,0.0015644
13,181.132,1.17062,1.27165,1.39096,0.73657,0.64904,0.74694,0.42654,1.29932,1.32322,1.45829,0.0015248,0.0015248,0.0015248
14,194.456,1.19078,1.28485,1.39427,0.61876,0.62019,0.63786,0.34635,1.397,1.46437,1.55012,0.0014852,0.0014852,0.0014852
15,208.11,1.15126,1.25222,1.39991,0.64937,0.52885,0.55901,0.27872,1.57215,1.67029,1.78142,0.0014456,0.0014456,0.0014456
16,221.779,1.14426,1.25261,1.38751,0.60263,0.6875,0.6382,0.33047,1.38062,1.37155,1.54008,0.001406,0.001406,0.001406
17,235.098,1.08805,1.16887,1.34399,0.77557,0.64795,0.75707,0.46806,1.1623,1.18166,1.39564,0.0013664,0.0013664,0.0013664
18,248.369,1.13809,1.20035,1.3795,0.63244,0.66346,0.69094,0.41162,1.2428,1.26092,1.42201,0.0013268,0.0013268,0.0013268
19,261.666,1.07197,1.12523,1.3218,0.70133,0.70192,0.74082,0.4834,1.07175,1.07911,1.29324,0.0012872,0.0012872,0.0012872
20,274.827,1.03902,1.11228,1.31706,0.79337,0.69231,0.77401,0.50373,1.0983,1.10081,1.3335,0.0012476,0.0012476,0.0012476
21,288.499,1.03216,1.11978,1.30913,0.66785,0.72502,0.75904,0.50304,1.07227,1.04589,1.28346,0.001208,0.001208,0.001208
22,301.142,1.01675,1.05716,1.29653,0.72993,0.64423,0.74641,0.47169,1.15616,1.13735,1.37981,0.0011684,0.0011684,0.0011684
23,314.71,1.02062,1.0566,1.31673,0.73554,0.68194,0.77043,0.48038,1.19704,1.17292,1.41238,0.0011288,0.0011288,0.0011288
24,328.485,1.01621,1.05461,1.30122,0.79994,0.80739,0.84678,0.52229,1.14422,1.00644,1.34692,0.0010892,0.0010892,0.0010892
25,342.914,0.95726,0.97748,1.26109,0.81285,0.69231,0.80546,0.5299,1.09045,1.02309,1.32109,0.0010496,0.0010496,0.0010496
26,356.31,0.96265,0.98339,1.26516,0.79015,0.7241,0.82021,0.51836,1.08488,0.9652,1.32305,0.00101,0.00101,0.00101
27,369.986,0.9554,0.96253,1.25252,0.76326,0.78846,0.83883,0.5289,1.12568,0.90717,1.36155,0.0009704,0.0009704,0.0009704
28,383.64,0.92211,0.89868,1.23472,0.73409,0.77885,0.78454,0.49042,1.14536,0.98438,1.37581,0.0009308,0.0009308,0.0009308
29,396.783,0.91376,0.92122,1.23429,0.75418,0.75,0.83016,0.55167,1.04841,0.91399,1.28194,0.0008912,0.0008912,0.0008912
30,410.045,0.9054,0.92668,1.21795,0.82991,0.76442,0.85106,0.57749,1.0654,0.82215,1.31327,0.0008516,0.0008516,0.0008516
31,423.124,0.89281,0.87574,1.22919,0.798,0.80769,0.87427,0.55737,1.04729,0.84024,1.27647,0.000812,0.000812,0.000812
32,436.374,0.94608,0.92314,1.24874,0.81948,0.76387,0.84193,0.55367,1.08507,0.89872,1.30025,0.0007724,0.0007724,0.0007724
33,450.213,0.87072,0.86785,1.19437,0.86482,0.76891,0.88308,0.60557,0.99368,0.79976,1.22813,0.0007328,0.0007328,0.0007328
34,463.384,0.82798,0.804,1.18327,0.77711,0.83809,0.86366,0.5956,1.00145,0.82851,1.23296,0.0006932,0.0006932,0.0006932
35,477.087,0.8512,0.81774,1.19085,0.77802,0.80288,0.85403,0.59894,1.02722,0.82988,1.27427,0.0006536,0.0006536,0.0006536
36,490.358,0.79033,0.79374,1.16042,0.84022,0.80904,0.88067,0.6214,1.01352,0.78134,1.26913,0.000614,0.000614,0.000614
37,503.991,0.83054,0.74963,1.17353,0.82886,0.79167,0.88258,0.62437,0.98637,0.77474,1.26316,0.0005744,0.0005744,0.0005744
38,517.925,0.76621,0.71434,1.1397,0.81317,0.837,0.86449,0.62178,0.91323,0.78519,1.19448,0.0005348,0.0005348,0.0005348
39,531.164,0.8082,0.72997,1.16733,0.84012,0.80843,0.87315,0.61004,0.94247,0.76317,1.21601,0.0004952,0.0004952,0.0004952
40,544.829,0.75959,0.70609,1.13133,0.9097,0.77885,0.89772,0.62828,0.9454,0.77978,1.20447,0.0004556,0.0004556,0.0004556
41,559.53,0.68122,0.62391,1.08192,0.83891,0.82692,0.88673,0.61409,0.96958,0.7811,1.25317,0.000416,0.000416,0.000416
42,572.66,0.6256,0.57411,1.03197,0.81424,0.83173,0.87573,0.61649,0.91584,0.76725,1.21778,0.0003764,0.0003764,0.0003764
43,585.385,0.60163,0.50528,1.00309,0.80814,0.8125,0.86533,0.63474,0.86068,0.74601,1.16417,0.0003368,0.0003368,0.0003368
44,598.362,0.58547,0.4864,0.99937,0.88997,0.80288,0.90215,0.65487,0.87738,0.71409,1.18456,0.0002972,0.0002972,0.0002972
45,611.111,0.57173,0.44046,1.00358,0.87885,0.83702,0.9117,0.66254,0.88661,0.66912,1.20986,0.0002576,0.0002576,0.0002576
